,juso,경도,위도
275,경상남도 진주시 나불로 184-1 (유곡동),128.049340103,35.211221667
276,충청남도 서천군 판교면 문곡길 12-25,126.681230233,36.138402152
277,경상북도 영천시 상신기길 224 (신기동),128.953582495,36.009267491
278,경상북도 예천군 예천읍 노상리길 19,128.453060006,36.660101394
279,충청남도 논산시 가야곡면 매죽헌로 1234-5,127.198224519,36.119132090
280,전라남도 보성군 득량면 강골길 14-29,127.188378773,34.764072981
281,경상북도 성주군 초전면 용성길 83,128.256873596,35.945567293
282,전라남도 무안군 몽탄면 월천길 29-42,126.484079397,34.928195496
283,경상북도 안동시 와룡면 서날골길 67,128.748884416,36.610055267
284,경기도 평택시 왕뒤길 65-43 (도일동),127.098218606,37.057945392
285,경상남도 양산시 상북면 공원로 392-43,129.051404213,35.424905664
286,전라남도 여수시 소라면 관기길 327,,
287,전라남도 강진군 도암면 기전로 337,126.756301026,34.530541330
288,전라남도 영광군 백수읍 해안로5길 16-7,126.415610791,35.361416164
289,전라남도 나주시 가야길 411-52 (진포동),126.672662775,34.987842930
290,강원도 화천군 화천읍 가손이길 77-9,127.724782589,38.103420965
291,경상남도 창원시 마산합포구 진북면 지산2길 108,128.468036927,35.116905324
292,경상북도 울진군 죽변면 송전길 9-12,129.398569659,37.052376003
293,서울특별시 강남구 양재대로 478 (개포동),127.063453692,37.476718087
294,경상북도 성주군 수륜면 수륜3길 168-9,128.208806458,35.836196753
295,경상북도 문경시 마성면 은성로 1542-65,128.111517408,36.682568363
296,울산광역시 중구 길촌길 329 (다운동),129.278835412,35.576472129
297,전라남도 곡성군 죽곡면 태안로 203-191,127.353395565,35.101057269
298,강원도 홍천군 서면 한서로 348-11,127.579972949,37.670917803
299,전라남도 담양군 창평면 외동로 617,127.040444632,35.216642370
300,전라남도 진도군 군내면 서부해안로 1790,,
301,강원도 춘천시 사북면 신포길 80,127.651620872,38.022068990
302,전라남도 보성군 문덕면 가내길 42,127.205324177,34.949001426
303,전라북도 김제시 금구면 서도길 52-15,127.002459925,35.768829664
304,강원도 영월군 주천면 주천로 19-8,128.264169142,37.266202049
305,충청남도 청양군 운곡면 배미길 55,126.878323941,36.522477018
306,전라북도 완주군 상관면 마자길 32,127.235878547,35.722904309
307,경상북도 영주시 안정면 안정로302번길 24-15,128.581754693,36.866491124
308,,,
309,전라남도 진도군 고군면 고군용호길 181-6,126.363660392,34.444508386
310,경상북도 영주시 영봉로 28 (휴천동),128.641354298,36.815959394
311,강원도 춘천시 서면 월송1길 67,127.682531708,37.904547031
312,충청남도 부여군 구룡면 방계로 24,126.804084221,36.234788342
313,경상북도 구미시 산동읍 동곡4길 82-8,128.449111560,36.174736193
314,충청북도 진천군 덕산읍 산수1길 35,127.484923840,36.881182463
315,경상북도 군위군 군위읍 내량길 150,128.541940797,36.237197705
