연번,명칭,높이(m),경도(E),위도(N)
407,칠성봉,604.5,127.4307917,34.622475
408,적취봉,595.7,127.4317028,34.6195361
409,우각산,343.5,127.4844944,34.6224722
410,오무산,356.4,127.2519194,34.5997139
411,조계산,472.5,127.290025,34.5752972
412,우미산,447.6,127.4828222,34.5944528
413,취북산,149.1,127.4229694,34.56915
414,별학산,341.5,127.254025,34.5477972
415,천등산,554.0,127.2789694,34.5421194
416,비봉산,447.6,127.326925,34.5498278
417,마복산,535.0,127.3875944,34.5372806
418,구룡산,238.6,127.4648639,34.5376694
419,상산,272.0,127.4537083,34.5197944
420,안산,83.3,127.3358639,34.7481528
421,제왕산,130.3,127.3711111,34.7341806
422,방만산,57.3,127.2639667,34.7119556
423,옥녀봉,137.0,127.3352361,34.7038417
424,맨네뚱산,64.0,127.267975,34.6864
425,계룡산,153.0,127.3368833,34.6951083
426,소대방산,160.8,127.3896972,34.6794611
427,반덕산,123.0,127.2513833,34.6744111
428,안산,118.1,127.2727,34.6614444
429,두루봉,118.8,127.293525,34.6596833
430,구사산,133.5,127.3102333,34.663
431,자봉산,77.5,127.305125,34.6551694
432,신선봉,199.8,127.3671833,34.6569361
433,옥녀봉,237.0,127.3670611,34.6517
434,공동산,80.5,127.4592833,34.6564861
435,남산,102.0,127.4684694,34.6588667
436,고봉산,137.0,127.2521111,34.6309722
437,삼태봉,214.9,127.2532,34.6451361
438,옥녀봉,186.2,127.2557417,34.6285056
439,안산,144.3,127.3182361,34.625625
440,유승봉,180.8,127.3036056,34.6383694
441,천마봉,256.0,127.3518944,34.6462139
442,투구봉,256.8,127.3518972,34.625575
443,호봉,104.0,127.2983583,34.6025917
444,깃대봉,448.0,127.3350278,34.6151806
445,산매산,264.8,127.3645139,34.6218083
446,해남산,248.1,127.4027417,34.6142722
447,진등산,257.8,127.4519722,34.6202861
448,당산,40.0,127.3457861,34.5675889
449,월각산,429.3,127.2701167,34.5349833
450,벼락산,431.1,127.2764444,34.5476667
451,우마장산,344.5,127.2953667,34.5195028
452,오대주산,642.6,127.8327611,35.2428056
453,두방산,569.7,127.8578583,35.2425944
454,비룡산,554.6,127.857125,35.2479278
455,정개산,520.0,127.8656583,35.2276556
456,우방산,494.0,127.8776111,35.2424889
457,주산,828.2,127.8055361,35.2203
458,사림산,573.8,127.8565111,35.2093528
459,시루봉,340.9,127.9067972,35.2230472
460,월봉산,348.5,127.8630556,35.1884056
461,옥산,614.1,127.8599972,35.1654611
462,고성산,185.5,127.9160306,35.1658333
463,갈미봉,396.6,127.7980722,35.1307278
464,옥녀봉,170.7,127.9904639,35.1455
465,계명산,381.9,127.8884333,35.1028028
466,송비산,244.4,127.9544917,35.1235556
467,이명산,572.0,127.89165,35.0863472
468,정안산,447.6,127.80925,35.0702778
469,남산,133.7,127.9658889,35.0519972
470,백마산,193.2,127.9049889,35.1523389
471,다래봉,155.9,127.94655,35.1475389
